stop_id,stop_skip_rate,stop_count
9022001001871002,0.0017513134851138354,1713
9022001001881001,0.0011768167107972932,3399
9022001001911001,0.0009376465072667605,2133
9022001001911002,0.0009416195856873823,2124
9022001001921001,0.0009407337723424271,2126
9022001001921002,0.0009411764705882353,2125
9022001001931001,0.0009402914903620122,2127
9022001001931002,0.0009411764705882353,2125
9022001001941001,0.0009505703422053232,2104
9022001001941002,0.0009411764705882353,2125
9022001001951001,0.0004720320981826764,4237
9022001001951002,0.0,18
9022001002101001,0.0,5430
9022001002101002,0.002786032689450223,5384
9022001002111001,0.0,2471
9022001002111002,0.002025111381125962,2469
9022001002121001,0.0,2473
9022001002121002,0.001637331150225133,2443
9022001002131001,0.0,16
9022001002131002,0.0004060913705583756,4925
9022001002211001,0.0,2926
9022001002211002,0.001670564650851988,2993
9022001002221001,0.0,2940
9022001002221002,0.002015451797111186,2977
9022001002231001,0.0,2942
9022001002231002,0.0030374620317246033,2963
9022001002241001,0.0,2942
9022001002241002,0.0026899798251513113,2974
9022001002251001,0.0,2942
9022001002251002,0.0033715441672285905,2966
9022001002301001,0.0,12
9022001002301002,0.0005053908355795149,5936
9022001002511001,0.0009216589861751152,5425
9022001002511002,0.0029596744358120607,5406
9022001002521001,0.0007395082270290257,5409
9022001002521002,0.0024132170038982737,5387
9022001002531001,0.001294139397300795,5409
9022001002531002,0.0016629711751662971,5412
9022001002601001,0.0036839950880065493,2443
9022001002601003,0.000671591672263264,2978
9022001002601004,0.0018618121638394704,4834
9022001002601005,0.0,616
9022001002611001,0.0028877887788778876,2424
9022001002611002,0.0012200081333875558,2459
9022001002621001,0.0028420625253755584,2463
9022001002621002,0.0016286644951140066,2456
9022001002631001,0.0024813895781637717,2418
9022001002631002,0.0016306563391765185,2453
9022001002641001,0.0,2267
9022001002641002,0.00042607584149978694,2347
9022001002651001,0.0,2332
9022001002651002,0.0008841732979664014,2262
9022001002701001,0.0009220839096357768,2169
9022001002701002,0.00043975373790677223,2274
9022001002701003,0.0,15
9022001002701004,0.0,102
9022001002711001,0.0004633920296570899,2158
9022001002711002,0.0013711151736745886,2188
9022001002721001,0.0009505703422053232,2104
9022001002721002,0.00045871559633027525,2180
9022001002731001,0.0009328358208955224,2144
9022001002731002,0.0004580852038479157,2183
9022001002741001,0.0009376465072667605,2133
9022001002741002,0.0004562043795620438,2192
9022001002751001,0.0013979496738117428,2146
9022001002751002,0.00045599635202918376,2193
9022001002761001,0.0023180343069077423,2157
9022001002761002,0.00046040515653775324,2172
9022001002761003,0.0,20
9022001002771001,0.0014265335235378032,2103
9022001002771002,0.0009208103130755065,2172
9022001002781001,0.001630561378989052,4293
9022001002781002,0.0,13
9022001002811001,0.0004149377593360996,2410
9022001002811002,0.00041841004184100416,2390
9022001002821001,0.0008278145695364238,2416
9022001002821002,0.0004185851820845542,2389
9022001002831001,0.0013544018058690745,2215
9022001002831002,0.0009199632014719411,2174
9022001002841001,0.00045454545454545455,2200
9022001002841002,0.00046040515653775324,2172
9022001002851001,0.0006928406466512702,4330
9022001002851002,0.0,15
9022001003031001,0.00031357792411414236,3189
9022001003031002,0.001869158878504673,3210
9022001003131001,0.004167688158862467,4079
9022001003131002,0.0,4104
9022001003161001,0.0012266928361138372,4076
9022001003161002,0.0004874482086278333,4103
